name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h
"s_10.1021_FS_nl0730155_InVitro.CB_derived:1,2",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:3,4",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:5,6",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:7,8",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:9,10",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:11,12",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:13,14",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:15,16",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:17,18",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:19,20",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:21,22",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:23,24",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:25,26",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:27,28",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:29,30",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:31,32",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:33,34",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:35,36",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:37,38",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:39,40",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:41,42",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:43,44",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:45,46",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:47,48",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:49,50",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:51,52",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:53,54",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:55,56",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:57,58",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_InVitro.CB_derived:59,60",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:12,13,14",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:15,16,17",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:18,19,20",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:21,22,23",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:24,25,26",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:27,28,29",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:30,31,32",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:33,34,35",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:36,37,38",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:39,40,41",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:42,43,44",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:45,46,47",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:48,49,50",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:51,52,53",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:54,55,56",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:57,58,59",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:60,61,62",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:63,64,65",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:66,67,68",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:69,70,71",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:72,73,74",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:75,76,77",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:78,79,80",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:81,82,83",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:84,85,86",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:87,88,89",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:90,91,92",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:93,94,95",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
"s_10.1021_FS_nl0730155_PC_derived:96,97,98",Aluminum Oxide,,,,,literature_mined,10.1021/nl0730155,,,,a_10,
