name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h
"JRCNM10200a Titanium dioxide, anatase",Titanium Dioxide,,,,,nanoreg_mined,,,32.0,4.494850021680094,EC_FISHTOX_SECTION,
"JRCNM10200a Titanium dioxide, anatase",Titanium Dioxide,,,,,nanoreg_mined,,32.0,32.0,4.494850021680094,EC_FISHTOX_SECTION,
NM-101 TiO2 6 nm,Titanium Dioxide,6.0,,,,nanoreg_mined,,,64.0,4.1938200260161125,Metabolic activity Alamar Blue,
NM-101 TiO2 6 nm,Titanium Dioxide,6.0,,,,nanoreg_mined,,64.0,64.0,4.1938200260161125,Metabolic activity Alamar Blue,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,,32.0,4.494850021680094,EC_FISHTOX_SECTION,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,32.0,32.0,4.494850021680094,EC_FISHTOX_SECTION,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,,128.0,3.8927900303521317,Metabolic activity Alamar Blue,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,128.0,128.0,3.8927900303521317,Metabolic activity Alamar Blue,
NM-104 TiO2,Titanium Dioxide,,,,,nanoreg_mined,,,128.0,3.8927900303521317,Metabolic activity Alamar Blue,
NM-104 TiO2,Titanium Dioxide,,,,,nanoreg_mined,,128.0,128.0,3.8927900303521317,Metabolic activity Alamar Blue,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,,256.0,3.5917600346881504,Metabolic activity Alamar Blue,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,256.0,256.0,3.5917600346881504,Metabolic activity Alamar Blue,
"NM-110 Zinc Oxide, uncoated",Zinc Oxide,,,,,nanoreg_mined,,,6.1238538406477,5.212975183250993,EC_FISHTOX_SECTION,
"NM-110 Zinc Oxide, uncoated",Zinc Oxide,,,,,nanoreg_mined,,,3.2102903885879406,5.493455681471354,EC_FISHTOX_SECTION,
"NM-110 Zinc Oxide, uncoated",Zinc Oxide,,,,,nanoreg_mined,,11.681679901966426,11.681679901966426,4.932494698345792,EC_FISHTOX_SECTION,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,,7.1113602558536595,5.148047319789454,EC_FISHTOX_SECTION,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,,4.323934541932536,5.364120889254498,EC_FISHTOX_SECTION,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,11.695700525449457,11.695700525449457,4.931973760581998,EC_FISHTOX_SECTION,
NM-112 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,,10.0,5.0,Metabolic activity Alamar Blue,
NM-112 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,,6.0,5.221848749616356,Metabolic activity Alamar Blue,
NM-112 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,16.0,16.0,4.795880017344075,Metabolic activity Alamar Blue,
NM-113 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,,9.0,5.045757490560675,Metabolic activity Alamar Blue,
NM-113 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,,5.0,5.301029995663981,Metabolic activity Alamar Blue,
NM-113 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,16.0,16.0,4.795880017344075,Metabolic activity Alamar Blue,
NM-200 Synthetic Amorphous Silica PR-A-02,Silicon Dioxide,,,,,nanoreg_mined,,,37.67043440355181,4.423999371621057,Metabolic activity Alamar Blue,
NM-200 Synthetic Amorphous Silica PR-A-02,Silicon Dioxide,,,,,nanoreg_mined,,,16.661042632507097,4.778297824335234,Metabolic activity Alamar Blue,
NM-200 Synthetic Amorphous Silica PR-A-02,Silicon Dioxide,,,,,nanoreg_mined,,85.17243515275102,85.17243515275102,4.069700935726375,Metabolic activity Alamar Blue,
NM-201 Synthetic Amorphous Silica PR-B-01,Silicon Dioxide,,,,,nanoreg_mined,,,46.8097132684946,4.329664019122333,Metabolic activity Alamar Blue,
NM-201 Synthetic Amorphous Silica PR-B-01,Silicon Dioxide,,,,,nanoreg_mined,,,22.230303711567977,4.6530546039066305,Metabolic activity Alamar Blue,
NM-201 Synthetic Amorphous Silica PR-B-01,Silicon Dioxide,,,,,nanoreg_mined,,98.56586789148646,98.56586789148646,4.0062734496902515,Metabolic activity Alamar Blue,
NM-202 Synthetic Amorphous Silica PY-AB-03,Silicon Dioxide,,,,,nanoreg_mined,,,128.49338747607067,3.8911192214108694,EC_FISHTOX_SECTION,
NM-202 Synthetic Amorphous Silica PY-AB-03,Silicon Dioxide,,,,,nanoreg_mined,,,47.42818671857846,4.3239634790413435,EC_FISHTOX_SECTION,
"Silicon dioxide, Synthetic Amorphous, thermal",Nanomaterial,,,,,nanoreg_mined,,,101.35510945608854,3.994154353012885,EC_FISHTOX_SECTION,
"Silicon dioxide, Synthetic Amorphous, thermal",Nanomaterial,,,,,nanoreg_mined,,,44.61424775795366,4.350526425267337,EC_FISHTOX_SECTION,
"Silicon dioxide, Synthetic Amorphous, thermal",Nanomaterial,,,,,nanoreg_mined,,230.259576904897,230.259576904897,3.6377822976763685,EC_FISHTOX_SECTION,
NM-204 Synthetic Amorphous Silica PR-A-05,Silicon Dioxide,,,,,nanoreg_mined,,,18.65399526162415,4.7292281378900265,EC_FISHTOX_SECTION,
NM-204 Synthetic Amorphous Silica PR-A-05,Silicon Dioxide,,,,,nanoreg_mined,,,6.297592437075509,5.200825449138751,EC_FISHTOX_SECTION,
NM-204 Synthetic Amorphous Silica PR-A-05,Silicon Dioxide,,,,,nanoreg_mined,,55.25469054397427,55.25469054397427,4.257630849029287,EC_FISHTOX_SECTION,
NM-400 MWCNT 13.6 nm,Multi-Walled Carbon Nanotube,13.6,,,,nanoreg_mined,,,8.0,5.096910013008056,Metabolic activity Alamar Blue,
NM-400 MWCNT 13.6 nm,Multi-Walled Carbon Nanotube,13.6,,,,nanoreg_mined,,8.0,8.0,5.096910013008056,Metabolic activity Alamar Blue,
NM-401 MWCNT 64.2 nm,Multi-Walled Carbon Nanotube,64.2,,,,nanoreg_mined,,,32.0,4.494850021680094,Metabolic activity Alamar Blue,
NM-401 MWCNT 64.2 nm,Multi-Walled Carbon Nanotube,64.2,,,,nanoreg_mined,,32.0,32.0,4.494850021680094,Metabolic activity Alamar Blue,
NM-402 MWCNT 12.7 nm,Multi-Walled Carbon Nanotube,12.7,,,,nanoreg_mined,,,8.0,5.096910013008056,EC_FISHTOX_SECTION,
NM-402 MWCNT 12.7 nm,Multi-Walled Carbon Nanotube,12.7,,,,nanoreg_mined,,8.0,8.0,5.096910013008056,EC_FISHTOX_SECTION,
NM-403 MWCNT 12 nm,Multi-Walled Carbon Nanotube,12.0,,,,nanoreg_mined,,,16.0,4.795880017344075,EC_FISHTOX_SECTION,
NM-403 MWCNT 12 nm,Multi-Walled Carbon Nanotube,12.0,,,,nanoreg_mined,,16.0,16.0,4.795880017344075,EC_FISHTOX_SECTION,
NM-100 TiO2 50-150 nm,Titanium Dioxide,150.0,,,,nanoreg_mined,,804.0,,3.094743951251549,ENM_0000068_SECTION,
NM-100 TiO2 50-150 nm,Titanium Dioxide,150.0,,,,nanoreg_mined,,130.59,,3.8840900781229393,ENM_0000068_SECTION,
NM-100 TiO2 50-150 nm,Titanium Dioxide,150.0,,,,nanoreg_mined,,133.06976744186048,,3.8759206021103427,ENM_0000068_SECTION,
NM-100 TiO2 50-150 nm,Titanium Dioxide,150.0,,,,nanoreg_mined,,69.20930232558139,,4.159835528705745,IMPEDANCE ADHERENT CELLS,
NM-100 TiO2 50-150 nm,Titanium Dioxide,150.0,,,,nanoreg_mined,,42.55813953488372,,4.371017365849157,ENM_0000068_SECTION,
NM-101 TiO2 6 nm,Titanium Dioxide,6.0,,,,nanoreg_mined,,1.5300000000000002e+48,,,IMPEDANCE ADHERENT CELLS,
NM-101 TiO2 6 nm,Titanium Dioxide,6.0,,,,nanoreg_mined,,111.58500000000001,,3.952394182235937,IMPEDANCE ADHERENT CELLS,
NM-101 TiO2 6 nm,Titanium Dioxide,6.0,,,,nanoreg_mined,,1.0542635658914729e+52,,,ENM_0000068_SECTION,
NM-101 TiO2 6 nm,Titanium Dioxide,6.0,,,,nanoreg_mined,,38.18604651162791,,4.418095302796164,IMPEDANCE ADHERENT CELLS,
NM-101 TiO2 6 nm,Titanium Dioxide,6.0,,,,nanoreg_mined,,3.6744186046511624e+54,,,IMPEDANCE ADHERENT CELLS,
NM-102 TiO2 anatase 21-22 nm,Titanium Dioxide,22.0,,,,nanoreg_mined,,5.235e+55,,,ENM_0000068_SECTION,
NM-102 TiO2 anatase 21-22 nm,Titanium Dioxide,22.0,,,,nanoreg_mined,,63.87,,4.194703083842015,IMPEDANCE ADHERENT CELLS,
NM-102 TiO2 anatase 21-22 nm,Titanium Dioxide,22.0,,,,nanoreg_mined,,77.87596899224806,,4.108596536475718,ENM_0000068_SECTION,
NM-102 TiO2 anatase 21-22 nm,Titanium Dioxide,22.0,,,,nanoreg_mined,,17.271317829457363,,4.762674523797558,IMPEDANCE ADHERENT CELLS,
NM-102 TiO2 anatase 21-22 nm,Titanium Dioxide,22.0,,,,nanoreg_mined,,1.1581395348837208e+39,,,IMPEDANCE ADHERENT CELLS,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,7.98e+45,,,IMPEDANCE ADHERENT CELLS,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,117.495,,3.9299806144017118,ENM_0000068_SECTION,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,270.5426356589147,,3.567764283340069,IMPEDANCE ADHERENT CELLS,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,49.27131782945737,,4.307405821763907,IMPEDANCE ADHERENT CELLS,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,178.13953488372093,,3.7492396859469825,ENM_0000068_SECTION,
NM-104 TiO2,Titanium Dioxide,,,,,nanoreg_mined,,1.242e+37,,,IMPEDANCE ADHERENT CELLS,
NM-104 TiO2,Titanium Dioxide,,,,,nanoreg_mined,,151.35000000000002,,3.8200175747074083,ENM_0000068_SECTION,
NM-104 TiO2,Titanium Dioxide,,,,,nanoreg_mined,,5200.0,,,ENM_0000068_SECTION,
NM-104 TiO2,Titanium Dioxide,,,,,nanoreg_mined,,32.07751937984496,,4.493799223969533,IMPEDANCE ADHERENT CELLS,
NM-104 TiO2,Titanium Dioxide,,,,,nanoreg_mined,,115.45736434108527,,3.9375783607918984,ENM_0000068_SECTION,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,1.2225e+59,,,IMPEDANCE ADHERENT CELLS,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,92.115,,4.035669643562151,ENM_0000068_SECTION,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,71.68992248062015,,4.144541889222795,IMPEDANCE ADHERENT CELLS,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,7.184496124031008,,5.143603685181311,IMPEDANCE ADHERENT CELLS,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,28.651162790697676,,4.54285774775118,IMPEDANCE ADHERENT CELLS,
"NM-110 Zinc Oxide, uncoated",Zinc Oxide,,,,,nanoreg_mined,,43.8,,4.3585258894959,IMPEDANCE ADHERENT CELLS,
"NM-110 Zinc Oxide, uncoated",Zinc Oxide,,,,,nanoreg_mined,,11.2815,,4.94763315226644,IMPEDANCE ADHERENT CELLS,
"NM-110 Zinc Oxide, uncoated",Zinc Oxide,,,,,nanoreg_mined,,43.968992248062015,,4.356853488124239,ENM_0000068_SECTION,
"NM-110 Zinc Oxide, uncoated",Zinc Oxide,,,,,nanoreg_mined,,16.387596899224807,,4.785484727327842,IMPEDANCE ADHERENT CELLS,
"NM-110 Zinc Oxide, uncoated",Zinc Oxide,,,,,nanoreg_mined,,3.891472868217054e-16,,21.40988599315423,ENM_0000068_SECTION,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,24.089999999999996,,4.618163200001657,ENM_0000068_SECTION,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,13.197,,4.8795247833034745,IMPEDANCE ADHERENT CELLS,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,25.348837209302328,,4.596041957638963,IMPEDANCE ADHERENT CELLS,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,8.035658914728682,,5.094978505795737,ENM_0000068_SECTION,
Unknown Nanomaterial,Nanomaterial,,,,,nanoreg_mined,,52.83720930232558,,4.277060128540605,IMPEDANCE ADHERENT CELLS,
NM-112 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,27.3,,4.5638373529592435,IMPEDANCE ADHERENT CELLS,
NM-112 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,1.69,,5.772113295386326,IMPEDANCE ADHERENT CELLS,
NM-112 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,20.46511627906977,,4.688985783429418,ENM_0000068_SECTION,
NM-112 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,8.62170542635659,,5.064406819558368,ENM_0000068_SECTION,
NM-112 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,40.12403100775194,,4.396595442638605,IMPEDANCE ADHERENT CELLS,
NM-113 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,19.8,,4.703334809738469,IMPEDANCE ADHERENT CELLS,
NM-113 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,2.75,,5.560667306169737,IMPEDANCE ADHERENT CELLS,
NM-113 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,18.48062015503876,,4.73328345923105,IMPEDANCE ADHERENT CELLS,
NM-113 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,5.793798449612403,,5.23703661678563,IMPEDANCE ADHERENT CELLS,
NM-113 Zinc Oxide,Zinc Oxide,,,,,nanoreg_mined,,25.93798449612403,,4.5860637736728735,IMPEDANCE ADHERENT CELLS,
NM-200 Synthetic Amorphous Silica PR-A-02,Silicon Dioxide,,,,,nanoreg_mined,,343.65,,3.463883651754921,IMPEDANCE ADHERENT CELLS,
NM-200 Synthetic Amorphous Silica PR-A-02,Silicon Dioxide,,,,,nanoreg_mined,,90.51,,4.043303435105349,ENM_0000068_SECTION,
NM-200 Synthetic Amorphous Silica PR-A-02,Silicon Dioxide,,,,,nanoreg_mined,,198.91472868217056,,3.701333058260339,ENM_0000068_SECTION,
NM-200 Synthetic Amorphous Silica PR-A-02,Silicon Dioxide,,,,,nanoreg_mined,,31.224806201550386,,4.505500248417668,IMPEDANCE ADHERENT CELLS,
NM-200 Synthetic Amorphous Silica PR-A-02,Silicon Dioxide,,,,,nanoreg_mined,,106.26356589147288,,3.9736156145414196,ENM_0000068_SECTION,
NM-201 Synthetic Amorphous Silica PR-B-01,Silicon Dioxide,,,,,nanoreg_mined,,1.0095e+25,,,ENM_0000068_SECTION,
NM-201 Synthetic Amorphous Silica PR-B-01,Silicon Dioxide,,,,,nanoreg_mined,,138.06,,3.859932130947713,IMPEDANCE ADHERENT CELLS,
NM-201 Synthetic Amorphous Silica PR-B-01,Silicon Dioxide,,,,,nanoreg_mined,,2.03e+19,,,IMPEDANCE ADHERENT CELLS,
