substance_name,jrc_id,topcategory,endpointcategory,endpoint,value_numeric,unit,text_value,reference,source_type,provenance_note
Ag 20 nm,Ag @ IIT,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Au 13 nm,Au@PBPK,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,13.0,nm,13 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,140.0,nm,140-200 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,50.0,nm,50-150 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,50.0,nm,50-150 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,6.0,nm,6 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-102 (TiO2 21-22 nm),JRCNM01002a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,21.0,nm,21-22 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,24.7,nm,24.7 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,23.4,nm,23.4 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-110 (ZnO 147 nm),JRCNM01100a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,147.0,nm,147 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-111 (ZnO 141 nm),JRCNM01101a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,141.0,nm,141 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-200 (silica 18.3 nm),JRCNM02000a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,18.3,nm,18.3 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-203 (SiO2 13-45 nm),JRCNM02003a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,13.0,nm,13-45 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,33.0,nm,33 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-400 (MWCNT 13.6 nm),JRCNM04000a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,13.6,nm,13.6 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-401 (MWCNT 64.2 nm),JRCNM04001a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,64.2,nm,64.2 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-402 (MWCNT 12.7 nm),JRCNM04002a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,12.7,nm,12.7 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-403 (MWCNT 12 nm),JRCNM04003a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,12.0,nm,12 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-600 (Bentonite 288 nm),JRCNM06000a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,288.0,nm,288 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,58.0,nm,58 nm (CLS),,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,15.0,nm,15 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 15 nm,JRCNM40002a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,15.0,nm,15 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20-30 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,0.0,nm,<8 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 42217 nm,JRCNM40005a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,42217.0,nm,42217 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 20-30 nm,JRCNM40006a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20-30 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,8.0,nm,8 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,42217.0,nm,42217 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 20-30 nm,JRCNM40009a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20-30 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,0.0,nm,<8 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,2.0,nm,2-15 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Nanofibrillar cellulose 3-> nm,NFC Medium-coarse,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,3.0,nm,3-> nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,110.0,nm,110 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,110.0,nm,110 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,6.0,nm,6 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,24.7,nm,24.7 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,24.7,nm,24.7 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-111 (ZnO 141 nm),JRCNM01101a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,141.0,nm,141 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-200 (silica 18.3 nm),JRCNM02000a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,18.3,nm,18.3 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-203 (silica 24.7 nm),JRCNM02003a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,24.7,nm,24.7 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-203 (silica 24.7 nm),JRCNM02003a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,24.7,nm,24.7 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-212 (CeO2 33 nm),JRCNM02102a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,33.0,nm,33 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-212 (CeO2 33 nm),JRCNM02102a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,33.0,nm,33 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
BaSO4 25 nm,NM-220,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,25.0,nm,25 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
BaSO4 25 nm,NM-220,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,25.0,nm,25 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Ag 16.7 nm,NM-300K,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,16.7,nm,16.7 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Ag 200 nm,NM-302,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,200.0,nm,200 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Ag 200 nm,NM-302,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,200.0,nm,200 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-400 (MWCNT 13.6 nm),JRCNM04000a,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,13.6,nm,13.6 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
SWCNT 2 nm,NM-411,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,2.0,nm,2 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
TiO2 (bimodal) 50 nm,NRCWE-001,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,50.0,nm,50 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
TiO2 80 nm,NRCWE-004,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,80.0,nm,80 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
graphite 4 nm,NRCWE-005,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,4.0,nm,4 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 74 nm,NRCWE-007,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,74.0,nm,74 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,15.0,nm,15 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Ag 42.5 nm,NRCWE-009,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,42.5,nm,42.5 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
CaCO3 40 nm,NRCWE-011,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,40.0,nm,40 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
CaCO3 40 nm,NRCWE-012,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,40.0,nm,40 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
CaCO3 40 nm,NRCWE-013,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,40.0,nm,40 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
CaCO3 40 nm,NRCWE-014,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,40.0,nm,40 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
CaCO3 40 nm,NRCWE-015,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,40.0,nm,40 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
CaCO3 40 nm,NRCWE-016,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,40.0,nm,40 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
CaCO3 40 nm,NRCWE-017,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,40.0,nm,40 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Fe2O3 60 nm,NRCWE-018,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,60.0,nm,60 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Fe2O3 40 nm,NRCWE-019,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,40.0,nm,40 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,30.0,nm,30 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,30.0,nm,30 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,31.0,nm,31 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,31.0,nm,31 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,120.0,nm,120 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 120 nm,SiO2@IIT 120_neg_green,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,120.0,nm,120 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,120.0,nm,120 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 120 nm,SiO2@IIT 120_pos,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,120.0,nm,120 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 120 nm,SiO2@IIT 120_pos_green,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,120.0,nm,120 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 120 nm,SiO2@IIT 120_pos_red,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,120.0,nm,120 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 20 nm,SiO2@IIT 20_neg,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 20 nm,SiO2@IIT 20_neg_red,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 20 nm,SiO2@IIT 20_pos_green,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,20.0,nm,20 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,50.0,nm,50 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_neg_green,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,50.0,nm,50 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_neg_red,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,50.0,nm,50 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_pos,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,50.0,nm,50 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_pos_green,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,50.0,nm,50 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,50.0,nm,50 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
TiO2 63 nm,TiO2@PBPK,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,63.0,nm,63 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
TiO2 63 nm,TiO2@PBPK,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,63.0,nm,63 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,5.0,nm,5-10 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Nanofibrillar cellulose 7-20 nm,UPM Biofibrils NS,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,7.0,nm,7-20 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,DIAMETER,30000.0,nm,30000 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Au 13 nm,Au@PBPK,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,56.0,nm,56 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,140.0,nm,140-200 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,33.0,nm,33 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-400 (MWCNT 13.6 nm),JRCNM04000a,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,846.0,nm,846 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-401 (MWCNT 64.2 nm),JRCNM04001a,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,4048.0,nm,4048 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-402 (MWCNT 12.7 nm),JRCNM04002a,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,2200.0,nm,2200 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-403 (MWCNT 12 nm),JRCNM04003a,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,620.0,nm,620 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,50000.0,nm,50000 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 15 nm,JRCNM40002a,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,50000.0,nm,50000 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,10000.0,nm,10000-30000 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 42217 nm,JRCNM40005a,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,50000.0,nm,50000 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 20-30 nm,JRCNM40006a,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,10000.0,nm,10000-30000 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,30000.0,nm,30000 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
MWCNT 20-30 nm,JRCNM40009a,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,20000.0,nm,20000-30000 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,10000.0,nm,10000-30000 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,1000.0,nm,1000-20000 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Nanofibrillar cellulose 3-> nm,NFC Medium-coarse,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,2000.0,nm,2000-50000 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-212 (CeO2 33 nm),JRCNM02102a,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,33.0,nm,33 nm,Provided,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-212 (CeO2 33 nm),JRCNM02102a,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,33.0,nm,33 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Ag 200 nm,NM-302,P-CHEM,PC_GRANULOMETRY_SECTION,LENGTH,3000.0,nm,3000 nm,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
