name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,drs_uri,sample_id,study_name,file_type
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/298f47e8-3c9e-52bc-8f29-3fd30d965162,11337776,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/296c03e9-846b-53c2-8370-5a2750032723,9142301,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/293cf97a-c33c-5ea0-8bf5-89b7db768196,94568452,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/af5a0ff3-6cdd-5b13-ad30-bb929ee58bcc,11337770,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/5cf6824b-e79f-564b-8fef-f6f461be0b50,11337784,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/629cdea7-6cc6-5c37-8b98-ff33d1a8c484,115900482,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/8de002a3-21f4-52ed-b322-79b6d1c9322e,103383040,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/3d809660-88b6-5b27-85f0-ef3d5ade6bc4,28835883,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/c97b9814-72bb-5367-bb10-c5870f3b2401,15368247,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/5004e8d9-3c82-58b7-8a0c-867e8567f716,57933824,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/b783bec2-65fe-5a3a-bbd0-80e582e5cd22,9142298,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/d19081cf-859d-5a16-87ba-5ccbbcce6901,11337767,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/c1c85968-6f9f-55b3-97c8-4460ff9150b9,96075801,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/ba11505b-7904-52a4-abee-d7b67865bd4f,43745280,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/11e20914-1c72-5b4f-8eb5-3db1f735328a,11337753,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/258e724a-1b17-5026-af9d-e6fbf27ccd1a,9142300,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/56819a1d-f2a9-5434-895a-82a2b7e95f13,11337768,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/fa664a99-4f6e-5aac-8bf1-490c77508472,82083840,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/a6cfd63b-7b31-5406-af5b-e43f222a1280,96075779,caNanoLab Data,CSV
