name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,cell_line,exposure_time_h,raw_classification
Ag,Mixture,,,,,literature_mined,,,,Escherichia coli,,in vitro
Cu; ZnO,Mixture,,,,,literature_mined,,,,Lactuca sativa L,,in vivo
Cu,Mixture,,,,,literature_mined,,,,Carassius auratus,,in vivo
SiO2; TiO2,Mixture,,,,,literature_mined,,,,Scenedesmus obliquus,,in vivo
Ag; ZnO,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
Zeolite,Mixture,,,,,literature_mined,,,,Chironomus riparius,,in vivo
Graphite-diamond,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
C60 fullerenes,Mixture,,,,,literature_mined,,,,Cottonwood (Populus deltoids),,in vivo
SWCNT,Mixture,,,,,literature_mined,,,,Strongylocentrotus droebachiensis,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Clarias gariepinus,,in vivo
Ag,Mixture,,,,,literature_mined,,,,Mus musculus,,in vivo
Ag,Mixture,,,,,literature_mined,,,,Salmonella typhimurium,,in vitro
ZnO,Mixture,,,,,literature_mined,,,,Scenedesmus obliquus,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Danio rerio,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Mus musculus,,in vitro
TiO2,Mixture,,,,,literature_mined,,,,Mus musculus,,in vitro
Fe3O4,Mixture,,,,,literature_mined,,,,Anguilla anguilla,,in vitro
Ag,Mixture,,,,,literature_mined,,,,"Daphnia magna, Raphidocelis subcapitata, Vibrio ﬁscheri ",,in vivo
Ag,Mixture,,,,,literature_mined,,,,Aspergillus flavus,,in vitro
TiO2,Mixture,,,,,literature_mined,,,,Dicentrarchus labrax,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Laeonereis acuta,,in vivo
Ag,Mixture,,,,,literature_mined,,,,Clarias gariepinus,,in vivo
C60 fullerenes,Mixture,,,,,literature_mined,,,,Artemia sp.,,in vivo
C60 fullerenes,Mixture,,,,,literature_mined,,,,Danio rerio,,in vivo
Ag,Mixture,,,,,literature_mined,,,,Danio rerio,,in vivo
ZnO; TiO2,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
Fe3O4,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
Ag; TiO2,Mixture,,,,,literature_mined,,,,Danio rerio,,in vivo
SWCNT; MWCNT,Mixture,,,,,literature_mined,,,,Eisenia fetida,,in vivo
ZnO,Mixture,,,,,literature_mined,,,,Caenorhabditis elegans,,in vivo
Au,Mixture,,,,,literature_mined,,,,Shewanella oneidensis; Bacillus subtilis,,in vitro
MWCNT,Mixture,,,,,literature_mined,,,,Carassius auratus,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Mytilus galloprovincialis,,in vivo
ZnO,Mixture,,,,,literature_mined,,,,Colletotrichum gloeosporioides,,in vitro
TiO2,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
