name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h
Docter2014 M6 M1,Nanomaterial,109.8,,,,literature_mined,,,,,,
Docter2014 M6 M2,Nanomaterial,,,,,literature_mined,,,-55.0,,,
Docter2014 M5 M2,Nanomaterial,,,,,literature_mined,,,-58.0,,,
Docter2014 M4 M2,Nanomaterial,,,,,literature_mined,,,-56.0,,,
Docter2014 M3 M2,Nanomaterial,,,,,literature_mined,,,-57.0,,,
Docter2014 M2 M2,Nanomaterial,,,,,literature_mined,,,-53.0,,,
Docter2014 M1 M2,Nanomaterial,,,,,literature_mined,,,-58.0,,,
Shaw51 51 M1,Nanomaterial,,,,,literature_mined,,,-16.8,,,
Shaw51 50 M1,Nanomaterial,,,,,literature_mined,,,-16.8,,,
Shaw51 49 M1,Nanomaterial,,,,,literature_mined,,,-11.3,,,
Shaw51 48 M1,Nanomaterial,,,,,literature_mined,,,-37.0,,,
Shaw51 47 M1,Nanomaterial,,,,,literature_mined,,,-9.23,,,
Shaw51 46 M1,Nanomaterial,,,,,literature_mined,,,-14.5,,,
Shaw51 45 M1,Nanomaterial,,,,,literature_mined,,,-13.6,,,
Shaw51 43 M1,Nanomaterial,,,,,literature_mined,,,-6.75,,,
Shaw51 42 M1,Nanomaterial,,,,,literature_mined,,,-7.7,,,
Shaw51 41 M1,Nanomaterial,,,,,literature_mined,,,-10.8,,,
Shaw51 40 M1,Nanomaterial,,,,,literature_mined,,,-6.54,,,
Shaw51 39 M1,Nanomaterial,,,,,literature_mined,,,-6.47,,,
Shaw51 38 M1,Nanomaterial,,,,,literature_mined,,,-4.7,,,
Shaw51 37 M1,Nanomaterial,,,,,literature_mined,,,-16.1,,,
Shaw51 36 M1,Nanomaterial,,,,,literature_mined,,,-15.6,,,
Shaw51 35 M1,Nanomaterial,,,,,literature_mined,,,-12.1,,,
Shaw51 34 M1,Nanomaterial,,,,,literature_mined,,,-4.3,,,
Shaw51 33 M1,Nanomaterial,,,,,literature_mined,,,-7.15,,,
Shaw51 32 M1,Nanomaterial,,,,,literature_mined,,,-4.22,,,
Shaw51 31 M1,Nanomaterial,,,,,literature_mined,,,-12.3,,,
Shaw51 30 M1,Nanomaterial,,,,,literature_mined,,,-6.05,,,
Shaw51 29 M1,Nanomaterial,,,,,literature_mined,,,0.25,6.6020599913279625,,
Shaw51 28 M1,Nanomaterial,,,,,literature_mined,,,-7.57,,,
Shaw51 27 M1,Nanomaterial,,,,,literature_mined,,,-3.77,,,
Shaw51 26 M1,Nanomaterial,,,,,literature_mined,,,-12.0,,,
Shaw51 25 M1,Nanomaterial,,,,,literature_mined,,,-0.877,,,
Shaw51 24 M1,Nanomaterial,,,,,literature_mined,,,-18.4,,,
Shaw51 23 M1,Nanomaterial,,,,,literature_mined,,,-6.11,,,
Shaw51 22 M1,Nanomaterial,,,,,literature_mined,,,-21.9,,,
Shaw51 21 M1,Nanomaterial,,,,,literature_mined,,,-9.23,,,
Shaw51 20 M1,Nanomaterial,,,,,literature_mined,,,-9.34,,,
Shaw51 19 M1,Nanomaterial,,,,,literature_mined,,,-3.61,,,
Shaw51 18 M1,Nanomaterial,,,,,literature_mined,,,-9.08,,,
Shaw51 17 M1,Nanomaterial,,,,,literature_mined,,,-20.7,,,
Shaw51 16 M1,Nanomaterial,,,,,literature_mined,,,0.766,6.115771230367396,,
Shaw51 15 M1,Nanomaterial,,,,,literature_mined,,,-11.7,,,
Shaw51 14 M1,Nanomaterial,,,,,literature_mined,,,2.34,5.6307841425898575,,
Shaw51 13 M1,Nanomaterial,,,,,literature_mined,,,3.09,5.510041520575165,,
Shaw51 12 M1,Nanomaterial,,,,,literature_mined,,,3.64,5.438898616350944,,
Shaw51 11 M1,Nanomaterial,,,,,literature_mined,,,-9.46,,,
Shaw51 10 M1,Nanomaterial,,,,,literature_mined,,,3.24,5.489454989793388,,
Shaw51 09 M1,Nanomaterial,,,,,literature_mined,,,-14.0,,,
Shaw51 08 M1,Nanomaterial,,,,,literature_mined,,,-19.5,,,
Shaw51 07 M1,Nanomaterial,,,,,literature_mined,,,-10.1,,,
Shaw51 06 M1,Nanomaterial,,,,,literature_mined,,,1.95,5.709965388637482,,
Shaw51 05 M1,Nanomaterial,,,,,literature_mined,,,-3.34,,,
Shaw51 04 M1,Nanomaterial,,,,,literature_mined,,,-2.72,,,
Shaw51 03 M1,Nanomaterial,,,,,literature_mined,,,5.9,5.229147988357856,,
Shaw51 02 M1,Nanomaterial,,,,,literature_mined,,,-9.22,,,
Shaw51 01 M1,Nanomaterial,,,,,literature_mined,,,-11.9,,,
Shaw51 01 M2,Nanomaterial,36.0,,,,literature_mined,,,,,,
Shaw51 02 M2,Nanomaterial,30.0,,,,literature_mined,,,,,,
Shaw51 03 M2,Nanomaterial,74.0,,,,literature_mined,,,,,,
Shaw51 04 M2,Nanomaterial,74.0,,,,literature_mined,,,,,,
Shaw51 05 M2,Nanomaterial,27.0,,,,literature_mined,,,,,,
Shaw51 06 M2,Nanomaterial,29.0,,,,literature_mined,,,,,,
Shaw51 07 M2,Nanomaterial,38.0,,,,literature_mined,,,,,,
Shaw51 08 M2,Nanomaterial,33.0,,,,literature_mined,,,,,,
Shaw51 09 M2,Nanomaterial,36.0,,,,literature_mined,,,,,,
Shaw51 10 M2,Nanomaterial,31.0,,,,literature_mined,,,,,,
Shaw51 11 M2,Nanomaterial,31.0,,,,literature_mined,,,,,,
Shaw51 12 M2,Nanomaterial,31.0,,,,literature_mined,,,,,,
Shaw51 14 M2,Nanomaterial,28.0,,,,literature_mined,,,,,,
Shaw51 15 M2,Nanomaterial,24.0,,,,literature_mined,,,,,,
Shaw51 16 M2,Nanomaterial,37.0,,,,literature_mined,,,,,,
Shaw51 17 M2,Nanomaterial,38.0,,,,literature_mined,,,,,,
Shaw51 18 M2,Nanomaterial,38.0,,,,literature_mined,,,,,,
Shaw51 19 M2,Nanomaterial,31.0,,,,literature_mined,,,,,,
Shaw51 20 M2,Nanomaterial,38.0,,,,literature_mined,,,,,,
Shaw51 21 M2,Nanomaterial,28.0,,,,literature_mined,,,,,,
Shaw51 22 M2,Nanomaterial,36.0,,,,literature_mined,,,,,,
Shaw51 23 M2,Nanomaterial,31.0,,,,literature_mined,,,,,,
Shaw51 31 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 32 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 34 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 35 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 36 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 37 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 38 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 39 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 40 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 41 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 42 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 43 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 44 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 45 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
Shaw51 46 M2,Nanomaterial,33.0,,,,literature_mined,,,,,,
Shaw51 47 M2,Nanomaterial,28.0,,,,literature_mined,,,,,,
Shaw51 48 M2,Nanomaterial,25.0,,,,literature_mined,,,,,,
Antisari2013 M5 M1,Nanomaterial,61.0,,,,literature_mined,,,,,,
Antisari2013 M5 M2,Nanomaterial,,,,,literature_mined,,,14.0,4.853871964321762,,
